,Channel,Year,Degree,Level,Nationality,Career,Crypto type,Crypto usage,Crypto knowledge,Duration,Trade performance,Remittance amount,Crypto knowledge source,Influenced family and friends,Intend to use crypto in future
11271,f2f,2022,Humanities,2nd,Turkey,Engineering,"BTC,ALT",remittance,+,1-3,,75,friends,Y,Y
11272,online,2023,STEM,1st,ME,Finance,NFT,trade,++,1-3,++,,friends,N,Y
11273,online,2022,STEM,MSc,China,Finance,BTC,"trade,remittance",+,1,,,family,Y,Y
11274,f2f,2025,STEM,1st,India,Engineering,"BTC,ETH,ALT","remittance,trans",+++,1-3,,100,marketing,Y,Y
11275,f2f,2024,Humanities,Phd,South America,Public,"BTC,ALT",remittance,+++,4-5,,75,marketing,Y,Y
11276,online,2023,STEM,MSc,China,Finance,"NFT,ALT","remittance,trans",++,,,50,study/research,N,Y
11277,online,2023,STEM,2nd,Africa,Medical,"BTC,ETH,ALT",remittance,+++,1-3,,25,marketing,Y,Y
11278,online,2024,STEM,MSc,China,Technology,NFT,"trade,remittance",+,4-5,++,75,marketing,Y,Y
11279,f2f,2021,STEM,PhD,ME,Engineering,NFT,trade,+++,4-5,+++,,study/research,Y,N
11280,online,2021,Humanities,1st,Europe,Finance,DOGE,trade,++,1,,,family,Y,N
11281,online,2024,Business,PhD,China,Engineering,DOGE,"trade,remittance,trans",,1-3,-,,friends,Y,Y
11282,f2f,2025,Humanities,3rd,USA,Technology,"BTC,ALT","remittance,trans",+++,1-3,,50,study/research,N,Y
11283,online,2023,Business,Phd,South America,Finance,"BTC,ALT","remittance,trans",++,4-5,,25,study/research,N,Y
11284,f2f,2022,Humanities,PhD,Europe,Legal,"BTC,ALT",remittance,++,5+,,25,marketing,N,Y
11285,online,2022,Business,PhD,USA,Technology,"BTC,ETH,ALT","remittance,trans",++,11,,50,friends,Y,Y
11286,online,2025,Business,1st,USA,Finance,"BTC,ALT","remittance,trans",+++,1,,50,family,N,N
11287,online,2022,STEM,PhD,Africa,,BTC,trade,++,1,--,,friends,N,Y
11288,online,2021,STEM,MSc,Europe,Engineering,"BTC,ETH,NFT",trade,+++,,,,study/research,Y,Y
11289,f2f,2025,Humanities,MSc,Turkey,Legal,ALT,"remittance,trans",++,,,75,friends,Y,N
11290,online,2020,Business,2nd,USA,Finance,"BTC,ALT",remittance,++,5+,,25,marketing,N,Y
11291,f2f,2020,STEM,PhD,USA,,BTC,remittance,+++,4-5,,25,marketing,Y,N
11292,f2f,2023,STEM,2nd,ME,Medical,BTC,remittance,++,1,,75,marketing,N,Y
11293,online,2023,STEM,1st,Europe,Retail,"BTC,ETH",trade,++,1-3,++,,friends,N,N
11294,online,2021,STEM,MSc,Europe,Finance,"BTC,ETH,NFT",trade,+++,4-5,++,,study/research,Y,Y
11295,online,2023,Business,MSc,South America,Finance,"BTC,ETH","trade,remittance,trans",++,4-5,++,75,family,Y,Y
11296,f2f,2020,STEM,3rd,South America,Engineering,"BTC,ETH,ALT","remittance,trans",+++,1,,100,study/research,Y,Y
11297,online,2025,Humanities,Phd,Europe,Legal,BTC,"remittance,trans",++,1-3,,75,friends,Y,Y
11298,f2f,2025,Business,3rd,South America,Finance,BTC,"remittance,trans",+++,1,,25,study/research,Y,Y
11299,online,2021,STEM,PhD,UK,Finance,BTC,trade,++,4-5,++,,study/research,N,N
11300,f2f,2023,STEM,3rd,ME,Engineering,"ETH,ALT",trade,+++,4-5,--,,friends,Y,Y
11301,online,2023,Humanities,PhD,ME,Technology,"BTC,NFT",remittance,++,1-3,,25,study/research,Y,N
11302,f2f,2024,STEM,PhD,UK,Technology,"BTC,ETH",trade,+++,4-5,+,,study/research,Y,Y
11303,online,2024,Business,MSc,Turkey,Finance,"BTC,ETH","trade,remittance",,5+,+,75,family,Y,N
11304,online,2022,STEM,MSc,India,Engineering,DOGE,"trade,remittance,trans",,4-5,+,25,family,Y,Y
11305,online,2021,STEM,MSc,USA,Technology,,"trade,remittance",++,1,++,25,study/research,Y,N
11306,f2f,2021,Humanities,1st,China,Medical,ETH,remittance,+++,11-3,,100,friends,Y,Y
11307,f2f,2024,STEM,Phd,South America,Medical,"ETH,NFT,ALT","remittance,trans",++,1,,50,friends,Y,Y
11308,online,2023,Business,MSc,Turkey,Technology,NFT,"trade,remittance",++,1-3,,25,marketing,Y,Y
11309,online,2023,Business,MSc,Europe,,"BTC,DOGE","remittance,trans",+++,11,,100,family,Y,N
11310,f2f,2020,Humanities,MSc,USA,Legal,"BTC,ETH,ALT",remittance,++,1-31-3,,25,family,N,N
11311,f2f,2020,Business,1st,Europe,Technology,BTC,remittance,+++,1-3,,25,friends,N,Y
11312,f2f,2022,Humanities,1st,Africa,Finance,"NFT,ALT",trade,+,1,++,,marketing,Y,N
11313,online,2022,Business,1st,Europe,,ALT,"remittance,trans",+++,4-5,,50,study/research,Y,Y
11314,online,2020,STEM,PhD,ME,Retail,"ETH,ALT",trade,+,1,-,,marketing,Y,Y
11315,online,2022,STEM,2nd,Turkey,Medical,ETH,remittance,+,,,75,friends,Y,Y
11316,online,2023,Humanities,PhD,India,Technology,ALT,"remittance,trans",+++,1-3,,25,family,Y,Y
11317,online,2021,Business,MSc,China,Technology,BTC,"trade,remittance",+++,1,,25,family,Y,Y
11318,f2f,2020,STEM,MSc,UK,Engineering,"BTC,ETH,NFT",trade,+++,4-5,-,,friends,Y,Y
11319,online,2023,STEM,Phd,China,Medical,ALT,"remittance,trans",+++,1,,75,study/research,N,N
11320,online,2021,STEM,1st,Europe,Finance,"BTC,NFT,DOGE",trade,++,1,-,,family,Y,N
11321,online,2021,Humanities,1st,China,,"BTC,NFT",trade,+,1,--,,study/research,Y,Y
11322,f2f,2021,STEM,PhD,Europe,Engineering,BTC,trade,+++,1,+,,study/research,Y,Y
11323,online,2020,Humanities,MSc,ME,Medical,BTC,trade,+,1,+,,marketing,Y,Y
11324,f2f,2024,STEM,Phd,South America,Finance,ALT,"remittance,trans",+++,1,,25,family,Y,Y
11325,online,2022,Business,3rd,Africa,Medical,BTC,remittance,+,11-3,,75,friends,Y,Y
11326,f2f,2024,STEM,MSc,India,Engineering,ETH,"trade,remittance,trans",,1-3,-,50,family,Y,Y
11327,f2f,2021,STEM,MSc,Turkey,Engineering,"BTC,ETH",trade,+++,1,+,,friends,Y,Y
11328,online,2022,Humanities,PhD,China,Technology,"BTC,ALT","remittance,trans",+++,1,,75,family,Y,N
11329,online,2022,Humanities,1st,China,Medical,"NFT,ALT",remittance,++,1-3,,25,marketing,Y,Y
11330,online,2023,Humanities,3rd,ME,Medical,"BTC,ETH,ALT",trade,+,1,--,,friends,N,N
11331,online,2023,Business,1st,Turkey,Technology,"ETH,DOGE","remittance,trans",+++,,,25,family,Y,N
11332,online,2021,Business,Phd,USA,Legal,"ETH,ALT",remittance,+++,,,25,friends,N,Y
11333,f2f,2023,STEM,MSc,Europe,Finance,DOGE,trade,+++,1-3,-,,study/research,N,Y
11334,online,2020,Humanities,Phd,Europe,Engineering,"ETH,NFT,ALT",remittance,++,1,,75,marketing,Y,Y
11335,online,2020,STEM,PhD,Turkey,Retail,"BTC,ETH",remittance,+++,1-31-3,,100,family,N,Y
11336,f2f,2020,Business,3rd,Europe,Engineering,"ETH,ALT",remittance,++,4-5,,25,study/research,Y,Y
11337,online,2024,Business,1st,USA,Legal,ALT,"remittance,trans",+++,1,,50,study/research,Y,Y
11338,online,2025,Business,Phd,South America,Technology,,"remittance,trans",+++,4-5,,25,study/research,Y,Y
11339,online,2024,STEM,MSc,Europe,Finance,"BTC,DOGE",trade,+++,5+,+++,,friends,N,Y
11340,online,2024,Humanities,3rd,USA,Public,ALT,"remittance,trans",+++,1,,100,study/research,Y,Y
11341,online,2023,Humanities,3rd,South America,Retail,ALT,"remittance,trans",+++,4-5,,25,study/research,Y,Y
11342,online,2021,STEM,MSc,Africa,,"NFT,ALT",trade,++,5+,+,,marketing,Y,N
11343,f2f,2024,Business,3rd,Turkey,Technology,ALT,"remittance,trans",++,5+,,25,study/research,Y,Y
11344,f2f,2021,STEM,PhD,Europe,Engineering,ETH,"trade,remittance",+++,1-3,+++,25,friends,Y,Y
11345,online,2022,Business,2nd,ME,Retail,"BTC,ETH,NFT",trade,+,5+,+,,marketing,N,Y
11346,online,2023,Business,Phd,Europe,Medical,"BTC,ALT","remittance,trans",++,1,,50,marketing,Y,N
11347,online,2022,STEM,3rd,Europe,Technology,ETH,"remittance,trans",++,1-3,,100,study/research,Y,N
11348,f2f,2021,Business,Phd,Turkey,Finance,"BTC,ALT","remittance,trans",+++,11,,50,study/research,Y,Y
11349,f2f,2021,STEM,3rd,UK,Engineering,BTC,trade,+++,5+,++,,study/research,Y,Y
11350,f2f,2023,Business,MSc,USA,Public,"BTC,ALT",remittance,+++,1-3,,75,friends,N,Y
11351,online,2024,Business,1st,South America,Finance,"BTC,DOGE","remittance,trans",+++,5+,,100,marketing,Y,Y
11352,online,2020,Humanities,1st,USA,Legal,"ETH,DOGE",trade,+++,1,-,,friends,Y,N
11353,online,2020,STEM,MSc,Africa,Medical,BTC,trade,++,1,,,marketing,N,Y
11354,online,2022,Business,1st,Europe,Public,"BTC,NFT,DOGE",trade,++,1,,,marketing,Y,N
11355,online,2024,Business,2nd,India,Finance,DOGE,"trade,remittance,trans",,1-3,-,75,family,Y,N
11356,f2f,2020,Business,PhD,Europe,Engineering,"BTC,ETH",trade,++,5+,--,,friends,Y,Y
11357,f2f,2025,Business,1st,USA,Medical,"BTC,ETH,ALT","remittance,trans",+++,4-5,,50,friends,Y,N
11358,online,2021,STEM,MSc,ME,Technology,BTC,"trade,remittance",+++,1-3,,25,family,Y,Y
11359,online,2024,Humanities,3rd,Turkey,Finance,BTC,"remittance,trans",+++,1,,50,study/research,N,Y
11360,online,2021,Business,MSc,China,Retail,"ETH,NFT,ALT","remittance,trans",++,,,25,marketing,Y,Y
11361,online,2024,Business,PhD,Europe,Technology,BTC,"trade,remittance,trans",+++,1-3,+++,25,friends,Y,Y
11362,f2f,2021,STEM,MSc,USA,Finance,,"trade,remittance",+++,,,,study/research,Y,N
11363,online,2021,Humanities,MSc,USA,Finance,"BTC,ALT",remittance,+++,1,,50,marketing,Y,Y
11364,online,2020,STEM,2nd,ME,,NFT,trade,++,4-5,--,,friends,N,N
11365,f2f,2020,STEM,PhD,Turkey,Technology,NFT,trade,+++,5+,+,,study/research,Y,Y
11366,online,2022,STEM,MSc,Africa,Engineering,BTC,"trade,remittance",+++,4-5,+,25,marketing,Y,Y
11367,online,2021,Business,3rd,South America,Finance,"BTC,ALT","remittance,trans",+++,4-5,,100,family,Y,Y
11368,f2f,2020,Humanities,2nd,South America,Public,BTC,remittance,+++,1-3,,25,friends,N,N
11369,online,2024,STEM,3rd,Turkey,,"NFT,ALT",remittance,+,,,75,family,Y,Y
11370,online,2022,Business,PhD,Turkey,Medical,,"remittance,trans",+++,11,,100,family,Y,Y
11371,online,2021,STEM,3rd,India,Technology,"BTC,DOGE","remittance,trans",+++,1-3,,50,study/research,Y,Y
11372,f2f,2021,Business,MSc,Africa,Finance,ETH,trade,+++,5+,++,,study/research,Y,Y
11373,online,2021,STEM,MSc,China,Finance,BTC,"trade,remittance",+++,1-3,+++,25,family,N,N
11374,online,2023,STEM,PhD,India,Engineering,"BTC,ETH",remittance,+,1,,75,study/research,Y,Y
11375,f2f,2023,Humanities,MSc,Turkey,Engineering,BTC,remittance,+++,1-3,,75,study/research,Y,Y
11376,f2f,2020,STEM,MSc,Turkey,Medical,"BTC,ETH",remittance,++,5+,,100,family,Y,N
11377,f2f,2020,Humanities,MSc,Turkey,Retail,"BTC,ALT","remittance,trans",+++,4-5,,25,study/research,Y,Y
11378,online,2021,Humanities,1st,Europe,Medical,NFT,trade,++,1,++,,friends,Y,N
11379,online,2024,Business,MSc,South America,Finance,"BTC,ETH","trade,remittance",+++,5+,++,,marketing,N,Y
11380,f2f,2023,STEM,2nd,Turkey,Finance,BTC,trade,++,1,+,,family,Y,Y
11381,f2f,2020,Humanities,Phd,Turkey,Medical,"ETH,ALT",remittance,+++,1-3,,25,marketing,Y,Y
11382,online,2024,Humanities,PhD,South America,,"ETH,ALT","remittance,trans",+++,4-5,,50,study/research,Y,Y
11383,online,2021,STEM,3rd,ME,Finance,"ETH,ALT",trade,++,1,,,friends,Y,Y
11384,online,2020,Business,PhD,ME,,BTC,trade,++,5+,+,,marketing,Y,N
11385,f2f,2023,STEM,PhD,Europe,Engineering,"BTC,DOGE",trade,++,5+,+,,friends,N,N
11386,online,2025,Humanities,3rd,USA,Public,"ETH,ALT","remittance,trans",+++,4-5,,25,study/research,Y,Y
11387,f2f,2020,Business,MSc,ME,Technology,ETH,"trade,remittance",+++,,-,,marketing,Y,Y
11388,f2f,2024,STEM,MSc,South America,Finance,BTC,remittance,+++,4-5,,100,friends,N,N
11389,online,2022,STEM,PhD,China,Engineering,"ETH,NFT,ALT",remittance,+,11-3,,75,friends,Y,Y
11390,online,2025,Business,Phd,India,Finance,"BTC,ALT","remittance,trans",++,1,,25,study/research,N,Y
11391,online,2024,Business,1st,USA,Medical,"BTC,ETH",trade,+,1,--,,marketing,Y,N
11392,online,2022,Humanities,MSc,USA,Finance,ALT,"remittance,trans",++,4-5,,50,friends,N,N
11393,online,2020,STEM,2nd,ME,,ETH,trade,+,1-3,--,,friends,Y,N
11394,online,2022,Business,PhD,South America,Engineering,"BTC,ETH","trade,remittance,trans",++,1-3,+,25,family,Y,N
11395,online,2021,STEM,PhD,ME,Technology,ETH,"trade,remittance",++,1-3,--,,family,N,Y
11396,f2f,2024,Business,PhD,Turkey,Technology,"BTC,ALT","remittance,trans",+++,1-3,,25,study/research,Y,Y
11397,online,2021,STEM,1st,Africa,Finance,NFT,trade,++,1-3,--,,study/research,Y,N
11398,online,2025,Humanities,MSc,USA,Legal,"BTC,ALT","remittance,trans",+++,,,100,study/research,Y,Y
11399,online,2024,STEM,PhD,South America,Legal,ALT,"remittance,trans",++,11,,25,study/research,Y,Y
11400,f2f,2020,STEM,2nd,USA,Engineering,"BTC,ETH","trade,remittance,trans",,1-3,,75,family,N,Y
11401,online,2025,STEM,1st,India,,,"remittance,trans",++,11,,50,study/research,Y,Y
11402,online,2020,STEM,MSc,China,Technology,BTC,"trade,remittance",+++,,++,50,family,Y,Y
11403,online,2021,Humanities,1st,ME,Public,"BTC,ETH,NFT",trade,+,1,--,,marketing,Y,Y
11404,f2f,2021,Humanities,1st,Africa,Medical,BTC,trade,++,4-5,--,,marketing,Y,N
11405,online,2025,Humanities,MSc,Turkey,Engineering,"BTC,ETH","remittance,trans",+++,4-5,,50,study/research,Y,Y
11406,online,2025,Business,3rd,South America,Legal,,"remittance,trans",+++,4-5,,50,family,N,N
11407,online,2021,STEM,PhD,Europe,Technology,DOGE,"trade,remittance",+++,1-3,++,,family,Y,Y
11408,online,2025,Business,3rd,Turkey,Medical,"BTC,ETH,ALT","remittance,trans",+++,1,,100,marketing,Y,Y
11409,online,2020,Business,3rd,Turkey,Retail,"BTC,ALT",remittance,+,,,25,marketing,N,Y
11410,f2f,2020,Humanities,1st,China,Retail,"ETH,ALT","remittance,trans",+++,11,,25,study/research,Y,Y
11411,online,2024,Business,MSc,USA,Retail,BTC,"remittance,trans",++,4-5,,100,study/research,Y,Y
11412,online,2023,STEM,1st,China,Medical,BTC,remittance,++,4-5,,100,marketing,Y,N
11413,online,2024,Humanities,3rd,India,Public,BTC,"remittance,trans",+++,5+,,75,study/research,Y,Y
11414,online,2022,Humanities,MSc,USA,Legal,NFT,trade,++,1-3,--,,marketing,Y,N
11415,online,2025,STEM,3rd,South America,Finance,"BTC,ALT","remittance,trans",+++,1,,25,study/research,Y,Y
11416,online,2021,Humanities,Phd,Turkey,,ALT,"remittance,trans",++,1,,25,friends,Y,Y
11417,online,2020,STEM,2nd,Africa,Finance,"BTC,NFT,DOGE",trade,++,1,,,study/research,Y,Y
11418,f2f,2021,STEM,2nd,India,Technology,"NFT,ALT",remittance,++,1,,50,friends,Y,Y
11419,f2f,2023,Humanities,3rd,South America,,"ETH,ALT",remittance,++,1-31-3,,50,family,Y,Y
11420,f2f,2020,STEM,1st,Turkey,Finance,ETH,trade,++,1,,,marketing,N,Y
11421,online,2021,STEM,PhD,China,Engineering,BTC,"trade,remittance",+++,,--,25,family,N,N
11422,f2f,2023,Business,MSc,Europe,Technology,"BTC,ETH","trade,remittance",+++,1,++,,marketing,Y,Y
11423,online,2024,Business,MSc,Africa,Engineering,ETH,"trade,remittance,trans",+++,,+++,75,family,Y,Y
11424,online,2023,Humanities,Phd,USA,Finance,ALT,"remittance,trans",++,5+,,25,study/research,N,Y
11425,online,2023,Business,1st,USA,Public,DOGE,trade,+,1,+,,marketing,N,N
11426,f2f,2021,STEM,MSc,UK,Finance,"ETH,ALT",trade,+++,4-5,+++,,friends,Y,Y
11427,online,2024,Humanities,1st,South America,Public,"BTC,ALT",trade,+,1,+,,friends,N,N
11428,online,2020,Humanities,3rd,China,Finance,BTC,"remittance,trans",+++,1,,25,study/research,Y,Y
11429,f2f,2021,Business,MSc,UK,Finance,"NFT,ALT",trade,+++,4-5,+,,study/research,N,Y
11430,f2f,2023,STEM,3rd,Europe,Legal,"BTC,NFT",remittance,++,,,25,marketing,N,Y
11431,online,2021,Business,MSc,South America,Technology,DOGE,"trade,remittance",+,,,25,study/research,N,N
11432,online,2021,Business,PhD,UK,Finance,DOGE,trade,++,1-3,,,study/research,Y,Y
11433,online,2021,Business,PhD,China,Engineering,"BTC,ETH","trade,remittance,trans",++,4-5,+++,25,marketing,Y,N
11434,online,2021,STEM,MSc,China,Technology,,"trade,remittance",+++,4-5,,,marketing,Y,Y
11435,online,2024,STEM,MSc,India,Medical,ETH,remittance,++,1,,75,family,Y,Y
11436,online,2025,Business,3rd,Europe,Retail,,"remittance,trans",++,4-5,,50,family,Y,Y
11437,online,2021,Humanities,1st,USA,Retail,"BTC,NFT,ALT",trade,++,1-3,,,marketing,Y,N
11438,online,2022,Humanities,1st,USA,Legal,"BTC,ETH,ALT",trade,+,1,-,,friends,N,N
11439,f2f,2022,STEM,3rd,China,Engineering,BTC,remittance,+,1-3,,75,family,Y,Y
11440,f2f,2020,Business,3rd,USA,Engineering,"BTC,ETH",remittance,++,5+,,25,study/research,Y,Y
11441,f2f,2023,STEM,MSc,India,Finance,"BTC,ALT","remittance,trans",+++,1,,25,marketing,Y,Y
11442,online,2021,Business,MSc,Africa,Technology,"BTC,ETH","trade,remittance",+++,1-3,--,,family,Y,N
11443,online,2021,STEM,MSc,Europe,Engineering,"BTC,ETH",trade,+++,4-5,,,study/research,Y,Y
11444,f2f,2024,STEM,MSc,Turkey,Technology,DOGE,"trade,remittance",+++,1,+,25,friends,N,Y
11445,online,2023,Business,2nd,USA,Retail,BTC,"trade,remittance,trans",+++,1-3,,,study/research,Y,N
11446,online,2023,STEM,3rd,South America,Engineering,BTC,"trade,remittance,trans",,,++,25,study/research,Y,N
11447,online,2020,STEM,2nd,ME,Retail,"BTC,ETH",trade,+,1,,,marketing,N,N
11448,online,2022,Business,MSc,Europe,Public,BTC,remittance,+++,4-5,,25,marketing,N,Y
11449,online,2021,STEM,MSc,Europe,Engineering,ETH,trade,+++,1,--,,study/research,Y,Y
11450,f2f,2020,Humanities,1st,USA,,"BTC,ALT",remittance,+,1-3,,25,friends,N,Y
11451,online,2021,STEM,PhD,UK,Finance,"BTC,ETH",trade,+++,1-3,++,,study/research,Y,Y
11452,f2f,2022,STEM,MSc,Europe,Medical,"BTC,NFT",trade,++,1-3,--,,marketing,N,N
11453,f2f,2020,Humanities,3rd,South America,Technology,"BTC,DOGE",remittance,+,,,25,marketing,Y,N
11454,online,2024,STEM,1st,India,Retail,"BTC,ALT","remittance,trans",+++,1,,50,friends,Y,Y
11455,online,2024,STEM,MSc,USA,Technology,ETH,"trade,remittance,trans",,,+,,marketing,Y,Y
11456,online,2025,STEM,MSc,USA,Finance,"ETH,NFT,ALT","remittance,trans",+++,11,,50,family,N,Y
11457,f2f,2020,Humanities,3rd,USA,,"BTC,ETH",remittance,+,1,,25,friends,Y,N
11458,online,2023,Business,3rd,China,Finance,"BTC,ALT","remittance,trans",+++,,,25,friends,Y,Y
11459,f2f,2023,Humanities,MSc,Europe,Medical,"BTC,ALT",remittance,+++,,,25,marketing,N,Y
11460,f2f,2025,Business,3rd,Turkey,Finance,BTC,"remittance,trans",+++,1,,25,study/research,N,Y
11461,online,2021,STEM,PhD,ME,Medical,"BTC,ETH","trade,remittance",+++,1-3,++,100,marketing,Y,Y
11462,f2f,2021,STEM,3rd,Africa,Finance,ETH,trade,++,1,-,,study/research,Y,Y
11463,online,2022,STEM,2nd,Africa,Finance,"NFT,ALT",trade,+,1,--,,marketing,Y,Y
11464,f2f,2024,Business,3rd,USA,Engineering,BTC,remittance,++,4-5,,25,marketing,N,Y
11465,online,2024,Business,MSc,USA,Technology,ALT,"remittance,trans",++,1-3,,25,family,Y,Y
11466,online,2021,Business,MSc,South America,Technology,BTC,"trade,remittance,trans",+++,4-5,--,50,family,Y,Y
11467,f2f,2025,Humanities,MSc,Turkey,Finance,"ETH,DOGE","remittance,trans",++,1,,25,study/research,N,N
11468,online,2021,Business,MSc,China,Technology,"BTC,ETH,ALT","remittance,trans",++,5+,,100,study/research,Y,Y
11469,f2f,2022,Business,PhD,Europe,Public,"BTC,NFT",remittance,++,1-3,,100,family,N,Y
11470,f2f,2024,Business,3rd,Turkey,Retail,BTC,"remittance,trans",+++,4-5,,25,friends,Y,Y
11471,f2f,2020,Business,3rd,USA,Legal,"BTC,ALT",remittance,+++,1-31-3,,50,study/research,N,N
11472,f2f,2023,STEM,PhD,Turkey,Finance,"BTC,ETH",remittance,++,,,75,marketing,Y,Y
11473,online,2023,Business,3rd,China,Legal,ETH,"remittance,trans",+++,5+,,100,marketing,Y,N
11474,online,2020,Humanities,1st,South America,Medical,"BTC,ALT",remittance,+,1-3,,100,marketing,Y,Y
11475,f2f,2020,Business,2nd,South America,Retail,"BTC,ETH","trade,remittance,trans",++,1-3,++,50,marketing,N,Y
11476,online,2023,Business,3rd,USA,Retail,"BTC,DOGE","remittance,trans",+++,4-5,,25,friends,Y,Y
11477,online,2024,Business,MSc,Turkey,Medical,ETH,trade,++,1-3,--,,friends,Y,Y
11478,f2f,2023,Business,3rd,ME,Retail,,trade,++,1,--,,marketing,Y,Y
11479,online,2020,Humanities,3rd,South America,Retail,"BTC,ALT",remittance,+,4-5,,25,friends,Y,Y
11480,f2f,2025,STEM,3rd,USA,Technology,"BTC,ALT","remittance,trans",+++,1-3,,25,study/research,Y,Y
11481,online,2021,STEM,MSc,South America,Finance,DOGE,"trade,remittance,trans",++,,++,,family,Y,Y
11482,f2f,2023,Business,PhD,Europe,Finance,ETH,trade,+++,4-5,+++,,friends,Y,N
11483,f2f,2021,STEM,3rd,Europe,Finance,"BTC,ETH,ALT",trade,++,1-3,--,,friends,Y,N
11484,f2f,2024,Business,3rd,Turkey,Technology,"BTC,ALT","remittance,trans",++,4-5,,100,study/research,Y,Y
11485,online,2023,STEM,3rd,Turkey,Medical,,remittance,+,1,,25,friends,Y,Y
11486,online,2021,STEM,MSc,ME,Engineering,"ETH,ALT",trade,+++,1-3,,,study/research,Y,Y
11487,online,2020,STEM,3rd,Turkey,,"BTC,ETH,ALT",trade,++,1,--,,study/research,N,N
11488,online,2023,STEM,Phd,South America,Retail,BTC,"remittance,trans",+++,1-3,,25,marketing,Y,Y
11489,f2f,2021,Business,1st,USA,Retail,"BTC,NFT,DOGE",trade,+,1-3,,,marketing,Y,Y
11490,f2f,2021,Humanities,2nd,Turkey,Retail,"BTC,ETH",trade,+++,1,--,,marketing,N,Y
11491,f2f,2021,Business,MSc,Europe,Retail,"BTC,ALT",remittance,+++,4-5,,25,marketing,N,N
11492,f2f,2020,Humanities,3rd,USA,Technology,"ETH,ALT","remittance,trans",+++,1,,25,family,N,Y
11493,f2f,2024,Business,PhD,USA,Engineering,BTC,"trade,remittance,trans",,,++,100,family,Y,N
11494,f2f,2023,Humanities,Phd,Turkey,,ETH,remittance,+++,1-3,,25,marketing,Y,N
11495,online,2024,STEM,2nd,South America,,"BTC,ETH",remittance,++,1,,75,study/research,N,N
11496,online,2020,Business,PhD,Europe,Technology,"BTC,ETH","trade,remittance",,1,-,,family,Y,N
11497,online,2020,STEM,2nd,Turkey,Retail,NFT,trade,+++,1-3,--,,friends,Y,N
11498,online,2021,Business,PhD,Africa,,DOGE,trade,+,1,,,friends,Y,Y
11499,online,2021,STEM,PhD,USA,Technology,"BTC,NFT","trade,remittance,trans",+++,4-5,+,25,family,Y,Y
11500,online,2020,Humanities,MSc,USA,Finance,"BTC,ETH,ALT","remittance,trans",++,4-5,,25,friends,Y,Y
11501,online,2025,Business,3rd,India,Finance,BTC,"remittance,trans",++,1,,75,family,Y,Y
11502,f2f,2022,Business,MSc,China,Finance,BTC,"trade,remittance",++,4-5,+,25,friends,Y,N
11503,f2f,2025,Business,1st,South America,Retail,"BTC,ALT","remittance,trans",+++,1,,25,study/research,Y,Y
11504,online,2022,STEM,PhD,Turkey,Medical,"ETH,NFT,ALT",remittance,++,1-3,,100,marketing,Y,Y
11505,f2f,2023,Business,PhD,China,Technology,"BTC,ETH","trade,remittance,trans",+++,1-3,,75,family,Y,N
11506,online,2024,STEM,PhD,Turkey,Retail,BTC,"trade,remittance",++,4-5,,25,marketing,Y,Y
11507,online,2023,STEM,PhD,China,Finance,"BTC,ETH",trade,+++,5+,-,,study/research,Y,N
11508,f2f,2021,STEM,3rd,ME,Finance,BTC,remittance,+,4-5,,75,friends,Y,Y
11509,f2f,2020,Humanities,1st,China,Technology,"BTC,NFT",remittance,++,4-5,,100,friends,Y,N
11510,online,2022,Business,PhD,China,Finance,ETH,"trade,remittance",+++,,-,25,study/research,Y,Y
11511,online,2021,STEM,1st,ME,Finance,"BTC,ETH",trade,+,5+,++,,marketing,Y,N
11512,online,2025,Business,Phd,Europe,Legal,ALT,"remittance,trans",+++,1-3,,50,study/research,Y,N
11513,online,2021,STEM,MSc,Europe,Finance,NFT,"trade,remittance",+++,,,25,study/research,Y,Y
11514,f2f,2021,Business,PhD,Turkey,Finance,"BTC,NFT,ALT",trade,+++,1,+++,,study/research,N,Y
11515,online,2020,STEM,2nd,ME,Retail,BTC,trade,+++,4-5,--,,friends,Y,N
11516,online,2023,STEM,PhD,Turkey,Technology,DOGE,"trade,remittance",++,4-5,--,75,family,Y,Y
11517,f2f,2020,Business,1st,South America,Finance,BTC,remittance,+++,1-3,,25,marketing,Y,Y
11518,online,2024,Business,3rd,South America,Public,"BTC,ALT",remittance,+++,1-3,,100,marketing,Y,Y
11519,online,2023,STEM,2nd,Europe,,"ETH,NFT,ALT",trade,++,1,--,,friends,N,N
11520,online,2021,STEM,PhD,USA,Technology,"BTC,ETH","trade,remittance",,1,+++,25,study/research,Y,Y
11521,f2f,2021,Business,PhD,Turkey,Engineering,"BTC,ETH",trade,+++,4-5,+++,,study/research,Y,Y
11522,online,2020,STEM,PhD,China,Technology,"BTC,NFT","trade,remittance",+++,5+,++,25,family,Y,N
11523,online,2021,Humanities,1st,Turkey,Medical,BTC,trade,+,1,,,friends,Y,N
11524,f2f,2024,STEM,MSc,UK,Engineering,"BTC,ETH",trade,+++,4-5,+++,,study/research,Y,Y
11525,online,2021,Business,PhD,Europe,Finance,,trade,+++,1-3,--,,friends,Y,Y
11526,f2f,2023,Humanities,MSc,Europe,Legal,"BTC,ALT",remittance,++,1-3,,25,marketing,Y,Y
11527,online,2023,STEM,2nd,USA,Finance,"BTC,ETH",remittance,++,1-3,,75,friends,N,N
11528,f2f,2022,STEM,2nd,Turkey,Technology,ETH,remittance,++,1,,75,friends,N,Y
